"car_model","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","mpg_category","efficiency_score","cyl_f","mpg_z_roll","efficiency_ratio","weight_class","cyl_label","weight_f"
"Mazda RX4",21,6,160,110,3.9,2.62,16.46,0,1,4,4,"medium",0.646031885428629,"6",NA,0.190909090909091,"medium","6-Cylinder","Medium (2.5-3.5)"
"Mazda RX4 Wag",21,6,160,110,3.9,2.875,17.02,0,1,4,4,"medium",0.630665871489034,"6",NA,0.190909090909091,"medium","6-Cylinder","Medium (2.5-3.5)"
"Datsun 710",22.8,4,108,335,3.85,2.32,18.61,1,1,4,1,"medium",0.614673100396704,"4",1.15470053837925,0.0680597014925373,"light","4-Cylinder","Light (≤2.5)"
"Hornet 4 Drive",21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,"medium",0.61868933419581,"6",-0.175561720794198,0.194545454545455,"medium","6-Cylinder","Medium (2.5-3.5)"
"Hornet Sportabout",18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,"medium",0.652596641970227,"8",-1.54705208889224,0.106857142857143,"medium","8-Cylinder","Medium (2.5-3.5)"
"Valiant",18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,"medium",0.569754292632189,"6",-1.1760129828993,0.172380952380952,"medium","6-Cylinder","Medium (2.5-3.5)"
"Duster 360",14.3,8,360,335,3.21,3.57,15.84,0,0,3,4,"low",0.595874420564686,"8",-1.44889149857113,0.0426865671641791,"heavy","8-Cylinder","Heavy (>3.5)"
"Merc 240D",24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,"medium",0.580194005973683,"4",1.32764284276338,0.393548387096774,"medium","4-Cylinder","Medium (2.5-3.5)"
"Merc 230",22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,"medium",0.563121786767804,"4",0.782485415486241,0.24,"medium","4-Cylinder","Medium (2.5-3.5)"
"Merc 280",19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,"medium",0.583496346984976,"6",-0.140382184303529,0.15609756097561,"medium","6-Cylinder","Medium (2.5-3.5)"
"Merc 280C",17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,"medium",0.566977172943678,"6",-0.472350459655447,0.144715447154472,"medium","6-Cylinder","Medium (2.5-3.5)"
"Merc 450SE",16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,"medium",0.605033666007117,"8",-1.10215570180045,0.0911111111111111,"heavy","8-Cylinder","Heavy (>3.5)"
"Merc 450SL",17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,"medium",0.62581880155322,"8",-0.558660819127335,0.0961111111111111,"heavy","8-Cylinder","Heavy (>3.5)"
"Merc 450SLC",15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,"medium",0.599430397527743,"8",-1.31941372415496,0.0844444444444444,"heavy","8-Cylinder","Heavy (>3.5)"
"Cadillac Fleetwood",10.4,8,472,335,2.93,5.25,17.98,0,0,3,4,"low",0.509171007163927,"8",-1.68726389956852,0.031044776119403,"heavy","8-Cylinder","Heavy (>3.5)"
"Lincoln Continental",10.4,8,460,215,3,5.424,17.82,0,0,3,4,"low",0.506397492625369,"8",-1.06744720487161,0.0483720930232558,"heavy","8-Cylinder","Heavy (>3.5)"
"Chrysler Imperial",14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,"low",0.55837181386955,"8",0.357169213576762,0.0639130434782609,"heavy","8-Cylinder","Heavy (>3.5)"
"Fiat 128",32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,"high",0.738619066773934,"4",1.73185051548714,0.490909090909091,"light","4-Cylinder","Light (≤2.5)"
"Honda Civic",30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,"high",0.789754696475703,"4",0.986867277339667,0.584615384615385,"light","4-Cylinder","Light (≤2.5)"
"Toyota Corolla",33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,"high",0.797356948228883,"4",0.870577843638483,0.521538461538462,"light","4-Cylinder","Light (≤2.5)"
"Toyota Corona",21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,"medium",0.587825246668701,"4",-0.619479950574055,0.221649484536082,"light","4-Cylinder","Light (≤2.5)"
"Dodge Challenger",15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,"medium",0.611839719093591,"8",-1.42036308569711,0.103333333333333,"heavy","8-Cylinder","Heavy (>3.5)"
"AMC Javelin",15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,"medium",0.611490770439644,"8",-0.947287434856581,0.101333333333333,"medium","8-Cylinder","Medium (2.5-3.5)"
"Camaro Z28",13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,"low",0.57513527839233,"8",-0.781496935245432,0.0542857142857143,"heavy","8-Cylinder","Heavy (>3.5)"
"Pontiac Firebird",19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,"medium",0.644598087390819,"8",0.679472654173841,0.109714285714286,"heavy","8-Cylinder","Heavy (>3.5)"
"Fiat X1-9",27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,"high",0.706697537216162,"4",1.65196915702446,0.413636363636364,"light","4-Cylinder","Light (≤2.5)"
"Porsche 914-2",26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,"high",0.668887464505279,"4",0.923840991099783,0.285714285714286,"light","4-Cylinder","Light (≤2.5)"
"Lotus Europa",30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,"high",0.808702064896755,"4",1.03753951803058,0.269026548672566,"light","4-Cylinder","Light (≤2.5)"
"Ford Pantera L",15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,"medium",0.629616798339894,"8",-1.31517532222233,0.0598484848484849,"medium","8-Cylinder","Medium (2.5-3.5)"
"Ferrari Dino",19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,"medium",0.621311193465597,"6",-0.696186809601067,0.112571428571429,"medium","6-Cylinder","Medium (2.5-3.5)"
"Maserati Bora",15,8,301,335,3.54,3.57,14.6,0,1,5,8,"low",0.604134007585335,"8",-0.958104852881725,0.0447761194029851,"heavy","8-Cylinder","Heavy (>3.5)"
"Volvo 142E",21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,"medium",0.565780755926232,"4",0.152592577052486,0.196330275229358,"medium","4-Cylinder","Medium (2.5-3.5)"
